CTID,trachea_z,trachea_y,trachea_x,volume_gen30,surface_area_gen30,box_counting_dim_gen30,tampering_coeff_gen30,CV_radius_gen30,AC_gen0,AC_gen1,AC_gen2,AC_gen3,AC_gen4,AC_gen5,AC_gen6,AC_gen7,AC_gen8,AC_gen9,AC_gen10,AC_gen11,AC_gen12,tree_entropy,tree_Life_0,tree_Life_1,tree_Life_2,tree_Life_3,tree_Life_4,tree_Birth_0,tree_Birth_1,tree_Birth_2,tree_Birth_3,tree_Birth_4,tree_Ratio_0,tree_Ratio_1,tree_Ratio_2,tree_Ratio_3,tree_Ratio_4,tree_Life_bin0,tree_Life_bin1,tree_Life_bin2,tree_Life_bin3,tree_Life_bin4,tree_Life_bin5,tree_Birth_bin0,tree_Birth_bin1,tree_Birth_bin2,tree_Birth_bin3,tree_Birth_bin4,tree_Birth_bin5,tree_Ratio_bin0,tree_Ratio_bin1,tree_Ratio_bin2,tree_Ratio_bin3,tree_Ratio_bin4,tree_Ratio_bin5,radial_entropy,radial_Life_0,radial_Life_1,radial_Life_2,radial_Life_3,radial_Life_4,radial_Birth_0,radial_Birth_1,radial_Birth_2,radial_Birth_3,radial_Birth_4,radial_Ratio_0,radial_Ratio_1,radial_Ratio_2,radial_Ratio_3,radial_Ratio_4,radial_Life_bin0,radial_Life_bin1,radial_Life_bin2,radial_Life_bin3,radial_Life_bin4,radial_Life_bin5,radial_Birth_bin0,radial_Birth_bin1,radial_Birth_bin2,radial_Birth_bin3,radial_Birth_bin4,radial_Birth_bin5,radial_Ratio_bin0,radial_Ratio_bin1,radial_Ratio_bin2,radial_Ratio_bin3,radial_Ratio_bin4,radial_Ratio_bin5,AC_gen13
Test01,111,185,174,73665,54222,1.7838190664057725,-0.007299674710068439,0.05249884713327034,1,2,4,8,17,30,44,58,54,50,34,16,6,6.713089041073678,125,28,4,1,1,4,6,49,70,30,108,33,13,4,1,1.0,38.3,75.6,112.89999999999999,150.2,187.5,0.0,37.5,75.0,112.5,150.0,187.5,0.0,0.2,0.4,0.6000000000000001,0.8,1.0,10.736125639333839,266,2,1,0,0,197,61,8,1,2,8,42,135,75,9,1.0,4.55,8.1,11.649999999999999,15.2,18.75,0.0,3.75,7.5,11.25,15.0,18.75,0.0,0.2,0.4,0.6000000000000001,0.8,1.0,
Test02,114,198,170,61233,49268,1.7200768681670977,-0.005850325660668228,0.05421906651441514,1,2,4,8,16,32,56,60,54,44,34,10,6,6.781519480773067,141,27,6,0,1,4,9,52,75,35,115,42,14,2,2,1.0,38.3,75.6,112.89999999999999,150.2,187.5,0.0,37.5,75.0,112.5,150.0,187.5,0.0,0.2,0.4,0.6000000000000001,0.8,1.0,10.726303125905464,248,1,0,0,0,191,54,2,2,0,8,36,113,81,11,1.0,4.55,8.1,11.649999999999999,15.2,18.75,0.0,3.75,7.5,11.25,15.0,18.75,0.0,0.2,0.4,0.6000000000000001,0.8,1.0,2.0
